Countries,Year 2006 ,Year 2008,Year 2010,Year 2012,Year 2014,Year 2016
Comoros,2901.1045,2413.6189,2292.998,2654.4912,2881.4299,2849.5518
Congo,3856.6887,4044.2778,4979.9907,6064.1831,5101.1885,3578.5364
Costa Rica,10574.515,11534.453,12106.992,12887.226,13560.92,14454.995
Cote d'Ivoire,2020.0027,2180.6924,2452.6096,2609.8696,2932.4956,3346.5608
Croatia,17683.572,20441.098,19305.01,20427.08,19757.717,21970.178
Curacao,28721.457,27588.129,24337.814,23368.531,23235.502,22663.754
Cyprus,26774.699,28820.889,28046.375,27352.078,24624.092,28137.316
Czechia,23993.736,27149.158,26129.568,26771.088,27964.266,29209.607
Democratic Republic of Congo,605.9989,592.47388,634.97137,740.51245,825.61298,774.13312
Denmark,39561.539,42811.008,43416.223,43650.113,43040.762,43566.543
Djibouti,2871.679,3254.3738,2124.4419,2444.4702,2901.5566,3848.7834
Dominica,7561.3696,9112.6299,9101.9932,9278.4258,9149.5654,8158.751
Dominican Republic,9262.2051,10178.83,11500.132,11743.769,12675.507,14307.479
Ecuador,7705.4888,8853.2813,9129.1367,10335.648,10872.468,9718.9785
